pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
131.11,-42.54,-90.0,top,J1,,,PinHeader_1x05_P2.54mm_Vertical,ROWS,tht
159.22,-42.54,90.0,top,J2,,,PinHeader_1x04_P2.54mm_Vertical,COLUMNS,tht
116.03,-56.54,0.0,top,SW1,,,SW_Cherry_MX_PCB_1.00u,C,tht
135.08,-94.64,0.0,top,SW10,,,SW_Cherry_MX_PCB_1.00u,5,tht
154.13,-94.64,0.0,top,SW11,,,SW_Cherry_MX_PCB_1.00u,6,tht
173.18,-94.64,0.0,top,SW12,,,SW_Cherry_MX_PCB_1.00u,7,tht
116.03,-113.69,0.0,top,SW13,,,SW_Cherry_MX_PCB_1.00u,0,tht
135.08,-113.69,0.0,top,SW14,,,SW_Cherry_MX_PCB_1.00u,1,tht
154.13,-113.69,0.0,top,SW15,,,SW_Cherry_MX_PCB_1.00u,2,tht
173.18,-113.69,0.0,top,SW16,,,SW_Cherry_MX_PCB_1.00u,3,tht
116.03,-132.74,0.0,top,SW17,,,SW_Cherry_MX_PCB_1.00u,ENTER,tht
135.08,-132.74,0.0,top,SW18,,,SW_Cherry_MX_PCB_1.00u,INVERT,tht
154.13,-132.74,0.0,top,SW19,,,SW_Cherry_MX_PCB_1.00u,CLEAR,tht
135.08,-56.54,0.0,top,SW2,,,SW_Cherry_MX_PCB_1.00u,D,tht
173.18,-132.74,0.0,top,SW20,,,SW_Cherry_MX_PCB_1.00u,SEND,tht
154.13,-56.54,0.0,top,SW3,,,SW_Cherry_MX_PCB_1.00u,E,tht
173.18,-56.54,0.0,top,SW4,,,SW_Cherry_MX_PCB_1.00u,F,tht
116.03,-75.59,0.0,top,SW5,,,SW_Cherry_MX_PCB_1.00u,8,tht
135.08,-75.59,0.0,top,SW6,,,SW_Cherry_MX_PCB_1.00u,9,tht
154.13,-75.59,0.0,top,SW7,,,SW_Cherry_MX_PCB_1.00u,A,tht
173.18,-75.59,0.0,top,SW8,,,SW_Cherry_MX_PCB_1.00u,B,tht
116.03,-94.64,0.0,top,SW9,,,SW_Cherry_MX_PCB_1.00u,4,tht
